"TABLE 1","","","","",""
"#","R.","Nome","Squadra","FVM","Quot ."
"# 9","D ( DC )","Kalaj","Frosinone","1 ( 1 )","1 ( 1 )"
"# 10","D ( DS , E )","Klitten","Frosinone","1 ( 1 )","1 ( 1 )"
"# 11","D ( DC )","Mateus Lusuardi","Frosinone","1 ( 1 )","1 ( 1 )"
"# 12","D ( DC )","Szyminski","Frosinone","1 ( 1 )","1 ( 1 )"
"# 13","C ( M , C )","Harrouil","Frosinone","22 ( 27 )","8 ( 8 )"
"# 14","C ( M , C )","Brescianini","Frosinone","4 ( 6 )","6 ( 7 )"
"# 15","C ( W )","Baez","Frosinone","6 ( 6 )","4 ( 4 )"
"# 16","C ( W , T )","Garritano","Frosinone","4 ( 4 )","4 ( 4 )"
"# 17","C ( M , C )","Mazzitelli","Frosinone","6 ( 8 )","4 ( 5 )"
"# 18","C ( M , C )","Barrenechea","Frosinone","6 ( 8 )","2 ( 3 )"
"# 19","C ( C , W , T )","Gelli","Frosinone","1 ( 1 )","2 ( 2 )"
"# 20","C ( C )","Lulic K.","Frosinone","3 ( 3 )","2 ( 2 )"
"# 21","C ( C , T )","Haoudi","Frosinone","1 ( 1 )","1 ( 1 )"
"# 22","A ( Pc )","Cheddira","Frosinone","28 ( 22 )","11 ( 11 )"
"# 23","A ( A )","Caso","Frosinone","16 ( 16 )","6 ( 6 )"
"# 24","A ( Pc )","Cuni","Frosinone","7 ( 5 )","4 ( 3 )"
"# 25","A ( W , A )","Soule '","Frosinone","12 ( 12 )","4 ( 4 )"
"# 26","A ( A )","Kvernadze","Frosinone","6 ( 6 )","3 ( 3 )"
"# 27","A ( Pc )","Borrelli","Frosinone","1 ( 1 )","2 ( 2 )"
"# 28","A ( A )","Bidaoui","Frosinone","1 ( 1 )","1 ( 1 )"
"Genoa","","","","",""
"# 1 #","P ( Por )","Martinez Jo .","Genoa","15 ( 15 )","8 ( 8 )"
"# # 2","P ( Por )","Leali","Genoa","1 ( 1 )","1 ( 1 )"
"# 3","P ( Por )","Sommariva","Genoa","1 ( 1 )","1 ( 1 )"
"# # 4","D ( Ds , E )","Martin","Genoa","17 ( 17 )","8 ( 8 )"
"# # 5","D ( Dd , Dc )","Dragusin","Genoa","12 ( 12 )","6 ( 7 )"
"# 6","D ( Dd , Dc )","Biraschi","Genoa","3 ( 4 )","5 ( 5 )"
"# 7","D ( Ds , Dc )","Vasquez","Genoa","7 ( 7 )","5 ( 6 )"
"# 8","D ( DC )","Bani","Genoa","6 ( 6 )","4 ( 4 )"
"# 9","D ( Dd , E )","Hefti","Genoa","4 ( 4 )","4 ( 4 )"
"# 10","D ( Dd , Ds , E )","Sabelli","Genoa","7 ( 10 )","4 ( 5 )"
"# 11","D ( Dd , Dc )","Vogliacco","Genoa","4 ( 4 )","4 ( 6 )"
"# 12","D ( Dd , Dc )","De Winter","Genoa","6 ( 8 )","3 ( 3 )"
"# 13","D ( DC )","Matturro","Genoa","1 ( 1 )","1 ( 1 )"
"# 14","D ( Ds , E )","Pajac","Genoa","2 ( 2 )","1 ( 1 )"
"# 15","C ( T )","Malinovskyi","Genoa","70 ( 64 )","16 ( 15 )"
"# 16","C ( T.A )","Gudmundsson A.","Genoa","58 ( 52 )","15 ( 14 )"
"# 17","C ( M , C )","Thorsby","Genoa","18 ( 21 )","9 ( 11 )"
"# 18","C ( W )","Messias","Genoa","32 ( 30 )","8 ( 7 )"
"# 19","C ( E , M )","Frendrup","Genoa","11 ( 16 )","6 ( 8 )"
"# 20","C ( M , C )","Strootman","Genoa","8 ( 9 )","6 ( 7 )"
"# 21","C ( M , C )","Badelj","Genoa","7 ( 8 )","5 ( 6 )"
