,RT,Squadra,Nome,Kap.,350K (8),350K (10),500K (8),500K (10)
238,C,Napoli,MAZZOCCHI Pasquale,8,1.52,6.57,1.18,2.44
239,A,Venezia,BJARKASON Bjarki,8,,,,
240,C,Genoa,ZANOLI Alessandro,8,1.07,3.00,,0.53
241,D,Verona,COPPOLA Diego,8,2.58,4.69,,6.14
242,D,Lazio,GILA Mario,8,2.01,4.57,1.23,6.89
243,C,Monza,BIRINDELLI Samuele,8,,2.22,,8.48
244,C,Monza,VIGNATO Samuele,8,,1.15,,
245,D,Roma,CELIK Zeki,8,5.35,5.65,,2.37
246,D,Verona,BRADARIC Domagoj,8,,,,
247,C,Venezia,ELLERTSSON Mikael,8,,0.12,,1.06
248,C,Udinese,EBOSELE Festy,8,,,,
249,C,Estero,EBOSELE Festy,8,,,,
250,C,Bologna,MORO Nikola,8,,3.27,,
251,C,Como,ABILDGAARD Oliver,8,,,,
252,C,Serie Minori,ABILDGAARD Oliver,8,,,,
253,C,Cagliari,MAKOUMBOU Antoine,8,,,,9.54
254,C,Genoa,MARTIN Aaron,8,,4.34,3.42,3.00
255,C,Udinese,KAMARA Hassane,8,,1.58,,8.48
256,C,Bologna,EL AZZOUZI Oussama,8,,1.26,,
257,D,Estero,NATAN -,8,,0.84,,
258,A,Empoli,SHPENDI Stiven,8,,,,
259,A,Serie Minori,SHPENDI Stiven,8,,,,
260,D,Udinese,KRISTENSEN Thomas,8,,11.40,,2.68
261,C,Inter,BUCHANAN Tajon,8,,1.11,,0.53
262,C,Como,BRAUNODER Matthias,8,,5.64,,
263,A,Monza,FORSON Omari,8,,1.15,,0.48
264,D,Parma,CIRCATI Alessandro,8,1.91,4.08,3.18,6.01
265,D,Venezia,IDZES Jay,8,,3.41,,5.84
266,D,Lecce,PELMARD Andy,8,,,,10.60
267,C,Genoa,NORTON-CUFFY Brooke,8,,,,
268,C,Como,PERRONE Maximo,8,,2.53,,
269,D,Parma,LEONI Giovanni,8,,1.17,,
270,D,Venezia,SCHINGTIENNE Joël,8,,,,
271,D,Lazio,PATRIC -,9,,9.50,,9.54
272,C,Empoli,GRASSI Alberto,9,,0.84,,
273,D,Empoli,PEZZELLA Giuseppe,9,5.44,5.49,,8.35
274,C,Atalanta,KOVALENKO Viktor,9,,,,
275,C,Estero,KOVALENKO Viktor,9,,,,
276,C,Monza,GAGLIARDINI Roberto,9,,4.92,,
277,D,Bologna,ERLIC Martin,9,2.00,3.09,,7.77
278,P,Udinese,SILVESTRI Marco,9,,0.95,,
279,P,Serie Minori,SILVESTRI Marco,9,,0.95,,
280,D,Parma,DEL PRATO Enrico,9,2.54,3.85,2.73,7.09
281,D,Verona,DAWIDOWICZ Pawel,9,,5.31,,8.74
282,D,Verona,MAGNANI Giangiacomo,9,,,,9.54
283,C,Lazio,ROVELLA Nicolo,9,9.83,9.24,1.23,1.95
284,C,Venezia,NICOLUSSI CAVIGLIA Hans,9,,3.18,,9.01
285,C,Torino,LAZARO Valentino,9,1.23,4.48,1.88,6.36
286,C,Monza,KYRIAKOPOULOS Georgios,9,,2.34,,0.53
287,C,Cagliari,MARIN Razvan,9,1.41,5.57,3.30,4.77
288,C,Parma,ESTEVEZ Nahuel,9,,9.78,,
289,D,Genoa,DE WINTER Koni,9,1.60,4.24,,5.34
290,C,Lecce,RAFIA Hamza,9,,0.95,,
291,C,Empoli,MALEH Youssef,9,,6.54,,
292,C,Lecce,COULIBALY Lassana,9,,1.26,,
293,A,Fiorentina,BREKALO Josip,9,,,,
294,A,Estero,BREKALO Josip,9,,,,
295,D,Estero,GENDREY Valentin,9,,1.20,,
296,C,Monza,BONDO Warren,9,,5.61,0.94,1.21
297,D,Verona,DANILIUC Flavius,9,,,,
298,A,Empoli,SOLBAKKEN Ola,9,,2.89,,
299,C,Lecce,DORGU Patrick,9,4.71,5.27,6.41,8.87
300,C,Estero,JOAO FERREIRA Fonseca Ferreira,9,,,,
301,A,Verona,TAVSAN Elayis,9,,,,
302,A,Serie Minori,TAVSAN Elayis,9,,,,
303,A,Verona,MITROVIC Stefan,9,,,,
304,A,Estero,MITROVIC Stefan,9,,,,
305,D,Lecce,GASPAR Kialonda,9,4.65,5.45,2.32,6.97
306,D,Roma,DAHL Samuel,9,,2.46,,0.48
307,C,Como,ENGELHARDT Yannik,9,,0.99,,
308,C,Verona,ALIDOU Faride,9,,,,
309,D,Como,VAN DER BREMPT Ignace,9,,,,
310,C,Venezia,YEBOAH John,9,,,,
311,D,Monza,IZZO Armando,10,12.36,15.17,,5.18
312,A,Monza,PETAGNA Andrea,10,,12.66,,
313,C,Verona,KASTANOS Grigoris,10,,11.08,,5.30
314,A,Venezia,PIERINI Nicholas,10,,8.44,,
315,A,Serie Minori,PIERINI Nicholas,10,,8.44,,
316,A,Genoa,EKUBAN Caleb,10,,,,
317,P,Genoa,GOLLINI Pierluigi,10,12.75,13.16,10.04,13.01
318,D,Cagliari,PALOMINO José Luis,10,11.22,13.69,,4.84
319,C,Cagliari,VIOLA Nicolas,10,,11.76,,
320,D,Lazio,LAZZARI Manuel,10,11.57,12.26,10.16,12.88
321,C,Empoli,ZURKOWSKI Szymon,10,11.54,14.23,12.66,14.82
322,A,Serie Minori,CAPUTO Francesco,10,,,,
323,C,Cagliari,ZAPPA Gabriele,10,,11.34,,
324,C,Bologna,POBEGA Tommaso,10,,11.19,9.42,12.12
325,P,Monza,TURATI Stefano,10,11.31,13.88,9.71,12.33
326,C,Parma,HERNANI -,10,,11.52,,11.66
327,C,Genoa,THORSBY Morten,10,,9.50,,
328,D,Monza,CALDIROLA Luca,10,,12.49,,5.30
329,C,Parma,SOHM Simon,10,11.32,12.06,10.01,12.11
330,C,Cagliari,ZORTEA Nadir,10,12.01,14.72,9.81,12.41
331,D,Empoli,VITI Mattia,10,12.27,14.68,,5.07
332,C,Fiorentina,PARISI Fabiano,10,,11.84,9.71,12.36
333,D,Genoa,VOGLIACCO Alessandro,10,11.05,11.15,9.42,14.57
334,A,Estero,SUCCESS Isaac,10,,,,
335,C,Fiorentina,ADLI Yacine,10,10.11,11.24,10.06,19.43
336,A,Fiorentina,IKONE Jonathan,10,,11.51,,
337,D,Parma,VALERI Emanuele,10,11.34,14.14,10.01,12.48
338,A,Venezia,GYTKJAER Christian,10,,11.51,,
339,C,Monza,CIURRIA Patrick,10,12.09,15.10,,
340,D,Milan,THIAW Malick,10,,10.87,,12.86
341,C,Udinese,EHIZIBUE Kingsley,10,11.58,11.97,,
342,C,Fiorentina,KAYODE Michael,10,,12.27,9.42,
343,C,Milan,MUSAH Yunus,10,,11.93,,4.85
344,C,Cagliari,PRATI Matteo,10,11.45,11.81,,4.81
345,C,Verona,SERDAR Suat,10,,10.55,,
346,A,Udinese,DAVIS Keinan,10,,12.66,,
347,A,Lecce,PIEROTTI Santiago,10,,12.66,,
348,D,Verona,FRESE Martin,10,12.06,14.72,,5.09
349,A,Verona,LIVRAMENTO Dailon,10,,11.52,,13.25
350,D,Napoli,MARIN Rafa,10,12.05,14.20,,6.40
351,A,Como,FADERA Alieu,10,,,,
352,D,Lecce,GUILBERT Frédéric,10,,12.66,,4.41
353,D,Roma,ABDULHAMID Saud,10,,10.55,,
354,D,Udinese,TOURE Isaak,10,,,,
355,C,Udinese,RUI MODESTO Muati Modesto,10,,10.85,,
356,D,Inter,DE VRIJ Stefan,11,12.29,12.34,,6.00
357,C,Lazio,VECINO Matias,11,12.84,13.07,12.95,13.25
358,P,Lecce,FALCONE Wladimiro,11,13.55,16.60,10.19,14.98
359,P,Como,AUDERO Emil,11,12.48,12.89,,6.36
360,C,Genoa,SABELLI Stefano,11,,12.17,10.19,13.21
361,D,Genoa,BANI Mattia,11,,12.31,10.36,13.08
362,D,Lazio,MARUSIC Adam,11,,12.20,,5.51
363,A,Fiorentina,SOTTIL Riccardo,11,,12.03,,
364,D,Fiorentina,RANIERI Luca,11,12.87,15.75,,5.77
365,A,Fiorentina,KOUAME Christian,11,,9.86,,
366,P,Venezia,JORONEN Jesse,11,,12.44,,5.83
367,A,Empoli,ESPOSITO Sebastiano,11,12.43,15.26,,18.36
368,C,Cagliari,AUGELLO Tommaso,11,12.66,13.25,,4.85
369,C,Empoli,HENDERSON Liam,11,,13.08,,
370,D,Lecce,GALLO Antonino,11,13.43,16.09,11.56,13.89
371,C,Roma,SAELEMAEKERS Alexis,11,12.26,13.11,12.89,15.02
372,A,Estero,NZOLA M'Bala,11,,,,
373,D,Empoli,ISMAJLI Ardian,11,,12.54,,5.50
374,C,Roma,ZALEWSKI Nicola,11,,13.27,,
375,C,Genoa,MIRETTI Fabio,11,13.18,16.46,,6.44
376,D,Udinese,PEREZ Nehuen,11,,12.57,,5.83
377,D,Estero,PEREZ Nehuen,11,,12.57,,5.83
378,C,Napoli,OLIVERA Mathías,11,12.54,15.49,10.80,13.48
379,P,Empoli,VASQUEZ Devis,11,,11.99,,5.94
380,A,Bologna,KARLSSON Jesper,11,,12.93,,
381,D,Udinese,GIANNETTI Lautaro,11,12.63,15.69,11.03,14.76
382,A,Bologna,CASTRO Santiago,11,17.73,20.40,11.16,17.63
383,D,Como,MORENO Alberto,11,13.26,15.76,10.36,13.08
384,C,Lazio,DELE-BASHIRU Fisayo,11,13.45,13.90,10.68,13.65
385,A,Verona,SARR Amin,11,,,,
386,A,Bologna,DOMINGUEZ Benjamín,11,,,,
387,C,Napoli,GILMOUR Billy,11,13.26,18.36,,4.85
388,C,Parma,KEITA Mandela,11,,13.93,,
389,C,Atalanta,CUADRADO Juan,12,,13.51,12.01,37.10
390,D,Lazio,ROMAGNOLI Alessio,12,15.44,18.41,11.50,14.48
391,C,Genoa,BADELJ Milan,12,,13.67,,6.36
392,C,Verona,LAZOVIC Darko,12,13.82,14.10,14.06,16.65
393,A,Inter,ARNAUTOVIC Marko,12,12.48,13.79,,
394,D,Roma,SMALLING Chris,12,,12.58,,12.67
395,D,Estero,SMALLING Chris,12,,12.58,,12.67
396,P,Cagliari,SCUFFET Simone,12,14.42,15.04,11.55,14.73
397,C,Fiorentina,BARAK Antonin,12,,13.67,,6.36
398,C,Estero,BARAK Antonin,12,,13.67,,6.36
399,A,Napoli,RASPADORI Giacomo,12,20.76,25.26,14.13,19.25
400,D,Cagliari,MINA Yerry,12,14.36,17.40,11.13,14.01
401,C,Torino,SOSA Borna,12,13.57,13.84,12.24,14.87
402,C,Fiorentina,AMRABAT Sofyan,12,,14.21,,6.36
403,C,Estero,AMRABAT Sofyan,12,,14.21,,6.36
404,C,Juventus,KOSTIC Filip,12,,12.95,,6.36
405,C,Estero,KOSTIC Filip,12,,12.95,,6.36
406,A,Milan,JOVIC Luka,12,,13.58,13.07,15.73
407,C,Atalanta,BRESCIANINI Marco,12,21.66,26.29,29.22,33.67
408,P,Verona,MONTIPO' Lorenzo,12,13.74,16.76,11.43,14.31
409,D,Lazio,CASALE Nicolò,12,15.56,17.98,11.30,14.33
410,D,Bologna,CASALE Nicolò,12,15.56,17.98,11.30,14.33
411,A,Roma,SHOMURODOV Eldor,12,,15.73,,6.89
412,C,Empoli,FAZZINI Jacopo,12,13.55,16.67,11.01,14.44
413,D,Monza,MARI Pablo,12,14.37,17.70,11.13,14.00
414,D,Udinese,BIJOL Jaka,12,13.54,14.31,12.50,15.95
415,D,Torino,SCHUURS Perr,12,16.60,19.30,,
416,D,Bologna,BEUKEMA Sam,12,14.33,17.52,11.13,14.15
417,C,Lecce,RAMADANI Ylber,12,,12.13,,13.78
418,A,Estero,CHEDDIRA Walid,12,,,,11.56
419,P,Udinese,OKOYE Maduka,12,13.66,16.98,14.99,16.61
420,D,Bologna,MIRANDA Juan,12,13.70,16.81,11.66,15.35
421,D,Lazio,NUNO TAVARES -,12,13.93,14.96,16.01,18.79
422,C,Lecce,PIERRET Balthazar,12,,13.30,,6.05
423,P,Parma,SUZUKI Zion,12,13.55,13.81,12.72,15.21
424,C,Udinese,EKKELENKAMP Jurgen,12,,13.47,,6.36
425,D,Lazio,GIGOT Samuel,12,,12.32,,12.72
426,A,Lecce,REBIC Ante,13,,14.44,,6.31
427,C,Inter,DARMIAN Matteo,13,14.69,15.76,12.91,16.29
428,D,Atalanta,KOLASINAC Sead,13,15.00,18.28,13.04,16.54
429,C,Roma,PAREDES Leandro,13,17.52,20.60,13.93,18.31
430,D,Milan,CALABRIA Davide,13,14.34,14.93,12.86,15.52
431,C,Verona,DUDA Ondrej,13,16.90,20.22,12.05,15.62
432,P,Fiorentina,DE GEA David,13,21.49,24.54,18.84,21.33
433,A,Cagliari,LAPADULA Gianluca,13,,16.46,,6.89
434,C,Monza,SENSI Stefano,13,,14.89,15.07,
435,A,Udinese,DEULOFEU Gerard,13,,,,
436,A,Bologna,ODGAARD Jens,13,,14.96,,6.89
437,C,Torino,TAMEZE Adrien,13,,14.07,12.24,
438,D,Juventus,KALULU Pierre,13,15.18,18.51,12.63,16.02
439,C,Juventus,MCKENNIE Weston,13,14.39,14.89,12.24,15.23
440,C,Parma,CANCELLIERI Matteo,13,14.27,14.27,12.93,16.50
441,C,Venezia,BUSIO Gianluca,13,15.31,18.70,12.63,16.36
442,D,Genoa,VASQUEZ Johan,13,15.33,18.89,12.64,16.36
443,D,Juventus,GATTI Federico,13,18.56,21.09,17.23,18.85
444,D,Lecce,BASCHIROTTO Federico,13,14.79,18.44,12.79,16.84
445,D,Bologna,LUCUMI Jhon,13,14.93,18.10,11.48,15.19
